escalate                           eskalieren
except when otherwise stipulated   sofern nicht anders vereinbart
except when otherwise stipulated   vorbehaltlich anderer Vereinbarung
excepted perils                    ausgenommene Risiken
exception                          Ausnahme
exceptional                        ausnahmsweise
exceptional case                   Ausnahmefall
exceptional offer                  Sonderangebot
exceptional price                  Sonderpreis
exceptional provisions             Sonderbestimmungen
excerpt                            Auszug
excess                             Übermaß, Überschuss
excess capacity                    Überkapazität
excess charge                      Überberechnung, Sicherheitszuschlag
excess consumption                 Mehrverbrauch
excess delivery                    Mehrlieferung
excess demand                      überhöhte Nachfrage
excess demand                      Übernachfrage, Nachfrageüberhang
excess demand for labour           Nachfrageüberhang nach Arbeitskräften
excess demand for labour           Übernachfrage nach Arbeitskräften
excess insurance                   Überversicherung
excess luggage                     Übergepäck
excess of age                      Überalterung
excess of births over deaths       Geburtenüberschuß
excess of expenditure on income    Ausgaben überschreiten Einkünfte
excess of exports                  Exportüberschuss
excess of imports                  Importüberschuss
excess of population               Überbevölkerung
excess of purchasing power         Kaufkraftüberhang
excess of purchasing power         Kaufkraftüberschuß, Kaufkraftüberhang
excess of weight                   Übergewicht
excess payment                     Überzahlung
excess profit                      Übergewinn
excess supply                      Überangebot
excess supply of labour            Arbeitskräfteüberangebot
excess supply of labour            Überangebot an Arbeitskräften
excess weight                      Übergewicht
excess work                        Mehrarbeit
excess work allowance              Zuschlag für zusätzlich  erforderliche Arbeit
excessive                          überhöht, übermäßig
excessive damages                  überhöhter Schadensersatz
excessive drinking                 unmäßiges Trinken
excessive eating                   zuviel Essen
excessive indebtedness             Überschuldung
excessive interest                 wucherische Zinsen, Wucherzins
excessive labour                   Überarbeitung
excessive optimism                 zu großer Optimismus
excessive sensibility              außerordentliche Empfindsamkeit
excessive use                      zu häufiger Gebrauch
exchange                           Telefonvermittlung
exchange                           Umtausch, Wechsel
exchange                           umtauschen
exchange agreement                 Austauschvertrag
exchange arrangement               Devisenabkommen
exchange commission                Provision bei Devisengeschäften
exchange control                   Devisenbewirtschaftung
exchange control                   Devisenkontrolle
exchange counter                   Devisenschalter
exchange law                       Wechselrecht
exchange list                      Devisenkursliste
exchange market                    Devisenmarkt
exchange of goods and services     Waren- und Dienstleistungsverkehr
exchange of ideas                  Meinungsaustausch
exchange of information            Informationsaustausch
exchange of the day                Tageskurs
exchange office                    Wechselstube
exchange profit                    Kursgewinn
exchange rate                      Devisenkurs
exchange rate                      Umrechnungskurs
exchange risk                      Kursrisiko
exchange table                     Kurstabelle
exchange transactions              Devisengeschäfte
exchange value                     Tauschwert
exchangeable                       austauschbar
exchangeability                    Austauschbarkeit
exchangeable                       austauschbar
Exchequer                          Schatzkanzler (Br.)
excise                             Verbrauchssteuer
excise duties                      Verbrauchssteuern
excise tax                         Verbrauchssteuer
excitability                       Erregbarkeit
excitable                          erregbar
excite                             anregen, aufregen, erregen, stimulieren
excited                            aufgeregt, erregt
excitement                         Aufregung, Erregung
exciting                           aufregend, erregend, spannend
exclamation                        Ausruf
exclaim                            ausrufen
exclude                            ausschließen
excluding a bill of lading         mit Ausnahme des Konnossements
exclusion                          Ausschluss, Ausschließung
exclusive                          ausschließlich
exclusive agency                   Alleinvertretung
exclusive agent                    Alleinvertreter
exclusive agreement                Ausschließlichkeitsvertrag
exclusive agreement                Exklusivvertrag
exclusive distribution             ausschließlicher Vertrieb
exclusive licence                  ausschließliche Lizenz
exclusive of VAT                   ausschließlich Mehrwertsteuer
exclusive of VAT and/or taxes      ausschließl. Mehrwertsteuer und/oder Steuern
exclusive outlet                   einziger Absatzweg
exclusive sales agreement          Alleinverkaufsvertrag
exclusiveness                      Ausschließlichkeit
excursion                          Ausflug
excusable                          entschuldbar
excuse                             entschuldigen
execute                            ausführen, durchführen,  erfüllen
execution                          Ausführung
execution of a contract            Ausführung eines Vertrages
execution of an order              Auftragsausführung
executive                          Führungskraft, leitender Angestellter
executive authority                vollziehende Gewalt, Exekutive
executive desk                     Chefschreibtisch
executive director                 verantwortlicher Direktor
executive employee                 leitender Angestellter
executive officer                  Sachbearbeiter des gehobenen Dienstes
executive position                 leitende Stellung
executives                         Führungskräfte
executor                           Testamentsvollstrecker
exempt                             ausgenommen, erlassen
exempt                             befreien
exempt                             befreit, ausgenommen
exempt from taxation               von der Steuer befreit
exempt from taxes                  steuerfrei
exemption                          Befreiung
exemption clause                   Ausnahmebestimmung
exercise                           üben, Übung
exert                              betätigen
exertion                           Betätigung
exertion                           Anstrengung
exhaust                            erschöpfen
exhausted                          erschöpft
exhaustive cultivation             Raubbau
exhibit                            ausstellen
exhibited articles                 Ausstellungsgüter
exhibiting company                 Aussteller
exhibition                         Ausstellung
exhibition building                Ausstellungsgebäude
exhibition catalogue               Ausstellungskatalog
exhibition space                   Ausstellungsfläche
exhibitor                          Aussteller
exhibits                           Ausstellungsstücke
existing between                   die bestehen zwischen
exile                              verbannen, Exil
exist                              bestehen
existence                          Dasein, Existenz
existent                           bestehend, gegenwärtig
exit                               Ausgang
exogenous variable                 exogene Variable
exorbitant price                   Wucherpreis
expand                             ausdehnen, expandieren
expanded type                      breite Schrift, doppeltbreite Schrift
expansibility                      Ausdehnbarkeit
expansible                         ausdehnbar
expansion                          Ausdehnung, Entfaltung
expansion demand                   Expansionsbedarf, Zusatzbedarf
expansion effect                   Expansionseffekt
expansion rate                     Wachstumsrate
expansion requirement              Expansionsbedarf, Zusatzbedarf
expatriate                         Auswanderer
expatriation                       Auswanderung
expect                             erwarten
expectancy                         Erwartung
expectancy of life                 Lebenserwartung
expectant                          erwartend, abwartend
expectation                        Erwartung
expectation of life                Lebenserwartung
expectation of loss                Erwartung eines Verlustes
expectation of loss                Schadenerwartung
expectation of loss                Schadenserwartung
expectations                       Erwartungen
expected                           erwartet
expected attainment                erwartete Leistung
expected capacity                  erwartete Kapazität, errechnete Kapazität
expected capacity                  geschätzte Kapazität
expected demand                    erwartete Nachfrage
expected earning level             geschätzter zu erwartender Lohn
expected frequency                 erwartete Häufigkeit
expected inflation                 erwartete Inflation
expected interruption              erwartete Unterbrechung
expected loss                      erwarteter Schadensumfang
expected orders                    erwartete Aufträge
expected performance               erwartete Leistung
expected perils                    erwartete Gefahren
expected profit                    erwarteter Gewinn
expected sales                     erwarteter Umsatz
expected sample size               erwarteter Stichprobenumfang
expected time                      erwartete Zeit
expected to sail                   voraussichtlich abfahrend
expecting your advice of dispatch  in Erwartung Ihrer Versandanzeige
expedience                         Zweckmäßigkeit
expedient                          zweckmäßig
expedite                           beschleunigen
expel                              ausschließen, vertreiben, austreiben
expendable                         sich verbrauchend
expendable goods                   Verbrauchsgüter
expenditure                        Ausgabe, Aufwand
expenditure cut                    Ausgabenkürzung, Ausgabensenkung
expenditure of human labour        Arbeitsaufwand
expense                            Spesen
expense account                    Spesenkonto
expense allocation                 Kostenaufschlüsselung
expense allowance                  Spesenbewilligung
expense distribution sheet         Betriebsabrechnungsbogen
expense factor                     Kostenfaktor
expenses                           Ausgaben, Kosten
expenses incidental to landing     indirekte Kosten für Löschung
expenses incidental to unloading   indirekte Abladekosten
expenses incidental to discharging indirekte Entladekosten
expenses incurred                  angefallene Kosten
expenses of any movement           Kosten für weitere Beförderung
expenses of discharging            Kosten für Entladen
expenses of landing the goods      Kosten des Löschens
expenses of or incidental          direkte oder indirekte Kosten
expenses of unloading              Kosten für Abladen
expenses to be borne by the seller vom Verkäufer zu tragende Kosten
expensive                          teuer, aufwendig
experience                         Erfahrung, erfahren
experience a loss                  Verlust erleiden
experienced in this area           in diesem Gebiet erfahren
experiment                         Experiment, experimentieren
experimental                       experimental, auf Versuchen aufgebaut
expert                             Fachkundiger, erfahren, fachkundig
expert                             Fachmann, Sachverständiger, Experte
expert                             Sachverständiger
expert advice                      fachkundige Beratung
expert adviser                     Fachberater
expert knowledge                   Erfahrung
expert opinion                     Gutachten
expert opinion                     Gutachten eines Sachverständigen
expert third-party                 neutraler Sachverständiger
expert third-party certificate     Bescheinigung eines neutralen Sachverständ.
expertise                          Gutachten des Sachverständigen
expertise                          Sachverständigengutachten
expertness                         Sachverständnis
expiration                         Ablauf, Ende, Verfall
expiration clause                  Fälligkeitsklausel
expiration date                    Verfalltag
expiration of a deadline           Ablauf der Frist
expiration of a letter of credit   Ablauf des Akkreditivs
expiration of a patent             Erlöschen eines Patents
expiration of a time limit         Ablauf einer Frist
expiration of contract             Ablauf des Vertrages
expiration of period               Ende der Versicherungsdauer
expiration of the validity         Ablauf der Gültigkeit, Ablauf der Laufzeit
expire                             ablaufen, enden, erlöschen
expire                             verfallen, ungültig werden, auslaufen
expired                            abgelaufen, verfallen
expiry                             Ablauf, Verfall, Verfalltag
expiry date                        Verfalldatum, Verfalltag
expiry of the policy               Anlauf der Versicherungspolice
expiry of the policy               Ende der Versicherungsdauer
explanation                        Erklärung
explanatory variable               erklärende Variable
explain                            erklären
explicit                           ausdrücklich
explicit consent                   ausdrückliche Zustimmung
explode                            explodieren
exploit                            ausnutzen, ausbeuten
exploitation                       Ausnutzung, Ausbeutung
exploitation of labour             Ausbeutung der Arbeitskräfte
exploitation rights                Ausbeutungsrechte
exploited                          ausgebeutet
exploration                        Erforschung
explorer                           Forscher, Erforscher
explosion                          Explosion
explosion insurance                Versicherung gegen Explosion
export                             Export, exportieren
export advertising                 Exportwerbung
export advisory board              Exportberatungsstelle
export agent                       Exportvertreter
export article                     Exportartikel, Exportware
export bonus                       Ausfuhrprämie
export bounty                      Exportprämie
export clerk                       Exportsachbearbeiter
export commission merchant         Exportkommissionär
export company                     Exportunternehmen
export control                     Ausfuhrkontrolle
export credit                      Exportkredit
export credit insurance            Ausfuhrkreditversicherung
export credit insurance            Exportkreditversicherung
export credit insurance            Exportversicherung
export credits guarantee           Exportkreditgarantie
export division                    Exportabteilung
export documents                   Exportpapiere
export drive                       Exportkampagne
export duty                        Ausfuhrzoll
export financing                   Exportfinanzierung
export firm                        Exportfirma
export guarantee                   Exportgarantie
export incentives                  Exportanreize
export incentives                  Exportvergünstigungen
export information                 Exportinformation
export invoice                     Ausfuhrrechnung
export journal                     Exportfachzeitschrift
export licence                     Exportgenehmigung
export licence                     Exportgenehmigung, Ausfuhrgenehmigung
export manager                     Leiter der Exportabteilung
export marketing                   Export-Marketing
export merchant                    Exportkaufmann
export packing                     Exportverpackung
export permit                      Ausfuhrbewilligung
export promotion                   Exportförderung
export quota                       Ausfuhrkontingent
export regulations                 Exportbestimmungen
export restitution                 Exportausgleich
export sales                       Exportgeschäfte
export shipment                    Exportlieferung
export statistics                  Exportstatistik
export surplus                     Exportüberschuss
export tax relief                  Steuererleichterung für Exportgeschäfte
export trade                       Ausfuhrhandel
export-oriented industry           exportorientierte Industrie
exportable goods                   für den Export geeignete Ware
exportation                        Ausfuhr
exporter                           Exporteur, Ausführer
exporting                          ausführend, Ausfuhr
exporting country                  Ausfuhrland
exports                            Exportgeschäfte, Exportumsätze
expose                             aussetzen, ausstellen
exposed                            ausgesetzt, ausgestellt
exposition                         Ausstellung, Schaustellung (US)
express                            ausdrücken
express                            Expreß
express authority                  ausdrückliche Vollmacht
express conditions                 ausdrückliche Bedingungen
express delivery                   Eilzustellung
express freight                    Eilgut
express highway                    Schnellstraße
express parcel                     Eilpaket
expressed                          ausgedrückt
expressed in the contract          im Vertrag ausdrücklich angeführt
expressly declaring                ausdrücklich erklärend
expressway                         Schnellstraße
expropriation                      Enteignung
expulsion                          Ausschluss, Vertreibung
expunge                            auslöschen
exquisite                          erlesen
extend                             ausdehnen, sich erstrecken
extend                             ausdehnen, verlängern
extend                             verlängern
extend cover                       Schutz gewähren
extend the validity                die Gültigkeit verlängern
extended coverage                  erweiterter Versicherungsschutz
extensibility                      Ausdehnbarkeit
extensible                         ausdehnbar
extension                          Ausdehnung, Verlängerung
extension of a B/L                 Prolongation eines Wechsels
extension of a labour permit       Verlängerung einer Arbeitserlaubnis
extension of a patent              Patentverlängerung
extension of a period              Fristenverlängerung
extension of a period              Verlängerung
extension of a permit              Verlängerung einer Erlaubnis
extension of a permit to stay      Verlängerung einer Arbeitserlaubnis
extension of business              Erweiterung des Geschäfts
extension of credit                Verlängerung des Kredits
extension of payment               Zahlungsaufschub
extension of permit                Verlängerung der Genehmigung
extension of the working day       Verlängerung des Arbeitstages
extension of time                  Nachfrist, Fristverlängerung
extension of time                  Verlängerung der Frist
extension of validity              Verlängerung der Gültigkeit
extension of visa                  Visaverlängerung
extension studies                  Weiterbildung für Erwachsene (US)
extensive                          ausgedehnt, umfassend
extensive economies                umfangreiche Einsparungen
extent                             Ausmaß, Umfang
extent                             Ausdehnung, Umfang, Weite
extent of damage                   Schadensumfang
extent of loss                     Schadensumfang, Schadensausmaß
external                           äußerlich
external                           ausländisch, Auslands-
external account                   externes Konto
external account                   externes Konto, Auslandskonto
external aid                       Auslandshilfe
external assets                    Auslandsvermögen
external assets                    Auslandswerte
external audit                     betriebsfremde Revision
external bill                      Auslandswechsel
external damage                    äußere Beschädigung
external debt                      Auslandsschuld
external deficit                   Defizit der Zahlungsbilanz
external diseconomies              externe Zusatzkosten
external economies                 Zusatznutzen, Zusatzerträge
external effects                   externe Effekte
external element                   externes Element
external element of an activity    externes Arbeitselement
external labour market             externer Arbeitsmarkt
external liabilities               Auslandsverbindlichkeiten
external loan                      Auslandsanleihe
external trade                     Außenhandel
external work                      Außentätigkeit, Außendienst
external work                      Außentätigkeit, Außendienst
externalities                      externe Effekte
extinct                            erloschen
extinction                         Löschung
extinction of a debt               Löschung einer Schuld
extinguish                         auslöschen
extort                             erpressen, abnötigen
extort money from sb               jemandem Geld abnötigen
extortion                          Erpressung
extortionate                       erpresserisch
extra                              zusätzlich
extra allowance                    Sonderzulage, Sondervergütung
extra charges                      Zusatzkosten
extra discount                     Sonderrabatt
extra duty                         Sonderzoll, Sonderabgabe
extra gain                         Nebengewinn
extra income                       Nebeneinkommen, zusätzliches Einkommen
extra pay                          Zulage
extrabudgetary                     außeretatmäßig
extract                            Auszug, ausziehen
extractive industry                Rohstoffindustrie
extramural studies                 Volkshochschullehrbetrieb
extraneous perils                  besondere Gefahren
extraordinary                      außergewöhnlich
extraordinary circumstances        außergewöhnliche Umstände
extraordinary depreciation         außergewöhnliche Abschreibung
extraordinary diligence            außerordentliche Sorgfalt
extraordinary expenditure          außergewöhnliche Aufwendungen
extraordinary expenses             außergewöhnliche Aufwendungen
extraordinary general meeting      außerordentliche Hauptversammlung
extraordinary income               außerordentliche Erträge
extraordinary resolution           Beschluß mit drei Viertel der S
extras                             Nebenausgaben, Nebeneinnahmen
extras                             zusätzliche Arbeitskräfte
extravagance                       Verschwendungssucht
extravagant                        verschwendungssüchtig
extravagant expenses               übermäßiger Aufwand
extreme                            extrem
extreme limit                      äußerster Termin
extremum                           Extremwert

eye catcher                        Blickfang
eyestrain                          Augenbeanspruchung


F

fabric                             Gewebe, Struktur, Stoff
fabricate                          herstellen
fabrication                        Fertigung
fabrication shop                   Fertigungsabteilung
fabulous wealth                    sagenhafter Reichtum
face                               Gesicht, Vorderseite
face                               Vorderseite eines Dokuments
face                               ansehen, begegnen, durchhalten
face amount                        Nennbetrag, Nennwert
face amount of a bill              Nennwert eines Wechsels
face amount of a bond              Nennwert einer Obligation
face amount of a share             Nennwert einer Aktie
face of a cheque                   Vorderseite eines Schecks
face of the bill                   Vorderseite des Wechsels
face value                         Nennwert, Nominalwert
face value of a document           Nennwert eines Papiers
face-lift                          Verbesserung des Aussehens
face-to-face                       von Angesicht zu Angesicht
face-to-face interview             persönliche Befragung
facetious                          scherzhaft, drollig
facile                             leicht, mühelos
facilitate                         erleichtern
facilitate compliance with regulations Einhaltung der Vorschriften erleichtern
facilitation of production         Produktionserleichterung
facilitation of traffic            Verkehrserleichterung
facilitation of transport          Transporterleichterung
facilities                         Anlagen und Einrichtungen
facilities                         günstige Einrichtungen
facilities                         günstige Möglichkeiten
facilities                         technische Hilfsmittel und Gerätschaften
facilities are included            Erleichterungen sind eingeschlossen
facilities for payment             Zahlungserleichterungen
facilities of payment              Zahlungserleichterungen
facility                           Leichtigkeit
facility                           Möglichkeit, Gelegenheit, Vergünstigung
facing first editorial page        gegenüber der ersten Textseite
facsimile                          Faksimile, naturgetreue Nachbildung
fact                               Tatsache
fact finding                       Erforschung des Sachverhalts
fact finding                       Tatsachenfeststellung
fact finding                       Untersuchung
fact question                      Frage nach Fakten
factitious                         erkünstelt
factor                             Faktor, Einfluss, mitwirkender Umstand
factor                             Faktor, Produktionsfaktor
factor                             Kommissionär
factor analysis                    Faktorenanalyse
factor comparison                  Faktorenvergleich
factor comparison system           summarische  Arbeitsbewertung
factor endowment                   Faktorausstattung
factor input                       Faktoreinsatz
factor of growth                   Wachstumsfaktor
factor of production               Produktionsfaktor
factor of safety                   Sicherheitsfaktor
factorage                          Provision des Kommissionärs
factoring                          Aufkauf von Forderungen
factoring                          Faktoring
factoring                          Verkauf von Forderungen
factors of production              Produktionsfaktoren
factors of safety                  Sicherheitsfaktoren
factory                            Fabrik, Fabrikanlage, Betrieb
Factory Acts                       (Br.) Gesetz betreffend Fabriken
factory agreement                  Betriebsvereinbarung
factory bookkeeping                Betriebsbuchhaltung
factory building                   Fabrikgebäude
factory buildings                  Werksanlage
factory burden                     Betriebsgemeinkosten
factory canteen                    Betriebsküche, Kantine
factory cost                       Gesamtfertigungskosten
factory costs                      Herstellungskosten
factory employee                   Fabrikangestellter, Fabrikarbeiter
factory equipment                  Betriebsanlagen, Betriebsausstattung
factory equipment                  Betriebseinrichtung
factory equipment                  Maschinenausstattung, Betriebsausstattung
factory expenses                   Fabrikationsgemeinkosten
factory floor                      Fabrikraum
factory gate                       Fabriktor
factory hand                       Fabrikhilfsarbeiter
factory inspection                 Werkskontrolle
factory insurance                  Betriebsversicherung
factory manager                    Betriebsleiter
factory manager                    Werksleiter
factory order                      Arbeitsauftrag
factory order                      Werkauftrag
factory output                     Betriebsleistung
factory overhead rate              Fabrikationsgemeinkostensatz
factory overheads                  Fertigungsgemeinkosten
factory system                     Fabriksystem
factory work                       Fabrikarbeit
factory worker                     Fabrikarbeiter
factory-made                       fabrikmäßig hergestellt
factory-trained                    im Betrieb ausgebildet
factual information                Sachinformation
facultative                        fakultativ, wahlfrei, freigestellt
faculty                            Ausbildungsrichtung, Fachbereich, Fakultät
faculty                            Fähigkeit
fade                               verblassen, verwelken
fade in                            einblenden
fade out                           ausblenden
fag                                abplacken
fagging                            Plackerei
fail                               fehlen, mangeln
fail                               nicht bestehen, verfehlen
fail                               unerledigt lassen, nicht tun
fail                               versagen, verfehlen
fail an examination                bei einer Prüfung durchfallen
fail an examination                eine Prüfung nicht bestehen
fail to do sth.                    etwas versäumen
fail to give instructions          es versäumen Anweisungen zu geben
failed to act                      versäumte es zu handeln
failed to inform                   versäumte es anzuzeigen
failing                            mangels, Schwäche
failing agreement                  sofern kein Übereinkommen vorliegt
failing agreement between          mangels eines Übereinkommens zwischen
failing express agreement          mangels ausdrücklicher Vereinbarung
failing specific stipulations      wenn besondere Bestimmungen fehlen
failing which                      in Ermangelung von
fails to take the goods into his charge  die Ware nicht übernimmt
failure                            Fehlschlag
failure                            Versagen, Misslingen, Fehlschlagen
failure                            Versäumnis
failure of consideration           mangels Gegenleistung
failure of performance             Nichterfüllung
failure rate                       Ausfallrate
failure rate                       Durchfallquote
failure to appear                  Nichterscheinen vor Gericht
failure to follow the procedures   Nichtbefolgung des Verfahrens
failure to meet a deadline         Fristenüberschreitung
failure to pay                     Nichtzahlung
failure to pay                     Nichtzahlung, Zahlungsversäumnis
failure-free operation             störungsfreier Betriebsablauf
faint                              schwach, ohnmächtig werden
fair                               anständig
fair                               Messe, Jahrmarkt
fair average quality               gute Durchschnittsqualität
fair catalog                       Messekatalog
fair comment                       sachliche Kritik
fair compensation                  angemessene Entschädigung
fair compensation                  angemessener Ausgleich
fair competition                   gerechter Wettbewerb, redlicher Wettbewerb
fair competition                   gesunder Wettbewerb
fair copy                          Reinentwurf, Reinschrift
fair damages                       angemessene Entschädigung
fair game                          faires Spiel
fair grounds                       Ausstellungsgelände
fair guide                         Messeführer
fair hostess                       Messebetreuerin
fair labor standards               gerechte Arbeitsrichtlinien (US)
fair market price                  angemessener Marktpreis,  reeller Marktpreis
fair market value                  üblicher Marktpreis
fair pass                          Messeausweis
fair price                         angemessener Preis
fair quality                       durchschnittliche Qualität
fair trade                         Freihandel
Fair Trade Law                     Gesetz gegen unlauteren Wettbewerb
fair wear and tear                 übliche Abnutzung
fairgoer                           Messebesucher
fairground                         Messegelände, Kirchweihgelände
fairness                           Fairness, Anständigkeit
fairy-tale                         Märchen
faith                              Glaube
faithful                           genau
faithful copy                      genaue Abschrift
faithfulness                       Treue
faithless                          treulos
fake                               fälschen, Fälschung
faking of the books                Fälschung der Bücher
fall                               fallen, Fall
fall                               Herbst (US)
fall                               Rückgang
fall back                          wieder fallen
fall behind                        zurückfallen
fall due                           fällig werden
fall in a category                 unter eine Kategorie fallen
fall in demand                     Nachfragerückgang, Rückgang der Nachfrage
fall in prices                     Preisrückgang
fall in prices                     Preissturz, Rückgang der Preise
fall in the market                 Nachlassen der Kurse
fall in value                      Wertverfall
fall of stocks                     Fallen der Aktienkurse
fall of the bank rate              Diskontsenkung (Br.)
fall off                           sinken
fall short                         zurückbleiben
fall under the hammer              versteigert werden
fallacious                         trügerisch
fallacy                            Trugschluss
falling market                     Markt mit fallenden Kursen
falling prices                     abnehmende Preise
fallout                            radioaktiver Niederschlag
falls due for payment              wird zur Zahlung fällig
false                              falsch, unrichtig
false accusation                   falsche Anschuldigung
false alarm                        falscher Alarm
false assertion                    falsche Behauptung
false bottom                       doppelter Boden
false claim                        unberechtigte Forderung
false conclusion                   falscher Schluss, Fehlschluss
false entry                        Falschbuchung, Fehlbuchung
false evidence                     falsche Aussage
false impression                   falscher Eindruck
false imprisonment                 Freiheitsberaubung
false interpretation               falsche Auslegung
false investment                   Fehlinvestition
false money                        Falschgeld
false move                         falsche Bewegung
false name                         falscher Name
